;symbol;price;volume;Symbol
599;SWKS;178.95;2509039.0;SWKS
600;SWX;62.55;339259.0;SWX
601;SXI;86.28;82160.0;SXI
602;SXT;74.46;253765.0;SXT
603;SYBT;46.9;38866.0;SYBT
604;SYK;238.78;971484.0;SYK
605;SYX;44.96;73180.0;SYX
606;SYY;77.08;1784789.0;SYY
607;T;28.93;23610785.0;T
608;TAIT;4.27;87710.0;TAIT
609;TBNK;24.77;18268.0;TBNK
610;TCBK;39.5;52421.0;TCBK
611;TCF;41.36;779947.0;TCF
612;TDS;20.51;782551.0;TDS
613;TEL;128.06;1608098.0;TEL
614;TFC;52.69;5046441.0;TFC
615;TFSL;17.53;288168.0;TFSL
616;TGT;188.86;2001889.0;TGT
617;THFF;41.57;59756.0;THFF
618;THG;113.49;251573.0;THG
619;THO;121.09;538452.0;THO
620;TKR;72.79;1450247.0;TKR
621;TMP;72.98;33514.0;TMP
622;TNC;73.07;40295.0;TNC
623;TOWN;25.83;200871.0;TOWN
624;TPL;992.99;47514.0;TPL
625;TR;31.23;317869.0;TR
626;TRI;84.21;343310.0;TRI
627;TRN;31.04;1787555.0;TRN
628;TRNO;59.93;146029.0;TRNO
629;TROW;159.86;775012.0;TROW
630;TRV;144.84;883645.0;TRV
631;TSBK;27.1;17618.0;TSBK
632;TSCO;151.5;1471489.0;TSCO
633;TSN;66.18;1591614.0;TSN
634;TTC;98.18;320980.0;TTC
635;TTEC;85.05;133623.0;TTEC
636;TTEK;133.91;515995.0;TTEK
637;TXN;169.93;3646084.0;TXN
638;UBCP;12.8;5966.0;UBCP
639;UBSI;34.38;318773.0;UBSI
640;UCBI;31.53;234897.0;UCBI
641;UDR;40.07;962219.0;UDR
642;UFPI;61.06;207885.0;UFPI
643;UGI;37.3;643618.0;UGI
644;UHT;61.61;37417.0;UHT
645;UMBF;76.44;153101.0;UMBF
646;UNB;27.68;1915.0;UNB
647;UNH;324.51;6877148.0;UNH
648;UNM;23.35;3201504.0;UNM
649;UNP;204.2;2001128.0;UNP
650;UNTY;19.69;24546.0;UNTY
651;UPS;164.38;2288845.0;UPS
652;USB;46.35;3969945.0;USB
653;UTL;42.36;48433.0;UTL
654;UTMD;92.41;9036.0;UTMD
655;UVV;47.17;97726.0;UVV
656;V;208.77;10262248.0;V
657;VALU;30.75;750.0;VALU
658;VFC;81.86;1057647.0;VFC
659;VLO;61.72;3057804.0;VLO
660;VMC;152.94;546737.0;VMC
661;VSEC;34.99;126910.0;VSEC
662;VVV;23.7;2292840.0;VVV
663;VZ;55.32;10677694.0;VZ
664;WABC;57.83;56396.0;WABC
665;WAFD;27.9;142682.0;WAFD
666;WASH;45.74;33161.0;WASH
667;WBA;49.81;4293292.0;WBA
668;WBS;49.62;360846.0;WBS
669;WCN;98.94;772492.0;WCN
670;WDFC;315.5;129296.0;WDFC
671;WEC;86.82;1146310.0;WEC
672;WEYS;19.16;13940.0;WEYS
673;WHR;193.57;904725.0;WHR
674;WLK;84.25;194885.0;WLK
675;WLKP;23.75;94922.0;WLKP
676;WLTW;223.91;1190263.0;WLTW
677;WM;113.73;1384140.0;WM
678;WMS;99.74;919130.0;WMS
679;WMT;144.36;6417541.0;WMT
680;WOR;57.28;223206.0;WOR
681;WPC;67.86;890762.0;WPC
682;WRB;65.75;879495.0;WRB
683;WSBC;31.08;129353.0;WSBC
684;WSFS;45.26;108407.0;WSFS
685;WSM;128.75;478315.0;WSM
686;WSO;242.23;158906.0;WSO
687;WST;291.35;442808.0;WST
688;WTBA;22.11;22017.0;WTBA
689;WTFC;65.64;210998.0;WTFC
690;WTRG;48.13;498285.0;WTRG
691;WTS;124.52;135436.0;WTS
692;WU;22.97;2719126.0;WU
693;XEL;63.44;1463741.0;XEL
694;XLNX;136.48;1917860.0;XLNX
695;XOM;49.95;34419050.0;XOM
696;XRAY;55.24;757249.0;XRAY
697;XYL;98.19;1126818.0;XYL
